	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
41	Backend-разработчик (Java/Kotlin)	350000	350000	RUR	Санкт-Петербург	2024-06-28	Kinetica	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102932372	350000.0
42	Frontend-разработчик (Middle. Vue | HTML+CSS)	120000	180000	RUR	Нижний Новгород	2024-07-18	Риверстарт	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104142513	150000.0
43	Менеджер по продажам (аккаунт/sales-менеджер)	200000	500000	RUR	Москва	2024-06-26	Конференции Олега Бунина	Менеджер по продажам, менеджер по работе с клиентами	От 3 до 6 лет	https://hh.ru/vacancy/102776403	350000.0
44	QA-инженер	170000	170000	RUR	Нижний Новгород	2024-07-01	СБЕР	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/97218138	170000.0
45	Программист Java (Kafka)	150000	210000	RUR	Москва	2024-07-03	Data World	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103225143	180000.0
46	Java-разработчик	3000	3000	USD	Москва	2024-06-27	ТРИАТЕК	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102835579	3000.0
47	Руководитель группы разработки в ИТ	200000	250000	RUR	Новосибирск	2024-07-19	Инетра	Руководитель группы разработки	От 3 до 6 лет	https://hh.ru/vacancy/103956565	225000.0
48	Senior Java Developer	280000	280000	RUR	Москва	2024-07-09	Ростелеком Контакт-центр	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103600678	280000.0
49	Frontend разработчик ReactJS Senior	260000	360000	RUR	Москва	2024-06-23	Apeek	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102521069	310000.0
50	Frontend-разработчик (Senior, Middle+) React + Next	150000	200000	RUR	Воронеж	2024-06-26	INTRID web-studio	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102784326	175000.0
51	Backend developer (Middle)	200000	230000	RUR	Москва	2024-06-26	Снэп АйТи	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/101149206	215000.0
52	Java Spring разработчик (Middle)	160000	230000	RUR	Казань	2024-07-17	Интис	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104077158	195000.0
53	Senior Backend Developer	250000	250000	RUR	Москва	2024-07-01	getmatch	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103021172	250000.0
54	Java Backend developer	300000	300000	RUR	Москва	2024-07-11	Рукс Солюшенс	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/99520581	300000.0
55	Backend-developer	150000	150000	RUR	Москва	2024-07-18	МСН Телеком	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104174928	150000.0
56	Back-end - Software Developer – Platform development	2500	3000	USD	Москва	2024-07-17	Amagasa	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104110210	2750.0
57	Системный аналитик	350000	350000	RUR	Москва	2024-07-01	Demis Group	Системный аналитик	От 3 до 6 лет	https://hh.ru/vacancy/103043223	350000.0
58	Middle Java Developer / middle JAVA программист	150000	200000	RUR	Москва	2024-07-17	Передовые Технологии	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103349695	175000.0
59	Backend-разработчик (Middle Java Developer)	150000	300000	RUR	Екатеринбург	2024-07-17	Русофт	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/104073047	225000.0
60	Java-разработчик	250000	250000	RUR	Москва	2024-07-15	ГКУ Центр занятости населения города Москвы	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103933851	250000.0
61	Backend-разработчик (PHP)	200000	200000	RUR	Екатеринбург	2024-07-12	СДЕЛКАРФ	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/98931363	200000.0
62	PHP программист / Backend разработчик	180000	180000	RUR	Санкт-Петербург	2024-07-18	ZeBrains	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103603911	180000.0
63	Java-разработчик	250000	250000	RUR	Саратов	2024-07-15	ГКУ Центр занятости населения города Москвы	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103933853	250000.0
64	Senior React Front-End Developer	150000	200000	RUR	Москва	2024-07-15	HEADLINER	Другое	От 3 до 6 лет	https://hh.ru/vacancy/103920876	175000.0
65	Android разработчик в офис	15000000	15000000	UZS	Ташкент	2024-07-15	NeoTech	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103928025	15000000.0
66	Java/Kotlin Developer (Spring) Middle+/Senior	150000	350000	RUR	Москва	2024-07-17	ITACWT	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/100101267	250000.0
67	Программист C# (backend, webapi, services, .net core)	160000	160000	RUR	Санкт-Петербург	2024-07-19	Системы информации и связи	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103640195	160000.0
68	Ведущий методист IT курсов	1500	1800	EUR	Москва	2024-06-26	Starta VC	Методист	От 3 до 6 лет	https://hh.ru/vacancy/102791547	1650.0
69	Фулстек разработчик	180000	180000	RUR	Санкт-Петербург	2024-07-18	РОССИННО	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103761412	180000.0
70	Java-разработчик	250000	250000	RUR	Самара	2024-07-15	ГКУ Центр занятости населения города Москвы	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103933855	250000.0
71	Java-разработчик	200000	280000	RUR	Санкт-Петербург	2024-07-17	Eclipse Digital	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103484376	240000.0
72	Java-разработчик	80000	80000	RUR	Ижевск	2024-07-12	БыстроБанк	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102030997	80000.0
73	Ведущий флаттер разработчик | Senior Flutter Developer	200000	280000	RUR	Москва	2024-07-19	Мисти Групп	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/103998880	240000.0
74	Java / Kotlin Developer	200000	200000	RUR	Санкт-Петербург	2024-07-08	Солантек	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/80316425	200000.0
75	Руководитель отдела бизнес-систем	300000	407000	RUR	Санкт-Петербург	2024-07-02	REDMOND	Руководитель проектов	От 3 до 6 лет	https://hh.ru/vacancy/103122858	353500.0
76	Java-разработчик backend Middle / Senior /TechLead	250000	400000	RUR	Москва	2024-07-15	KPBS	Программист, разработчик	От 3 до 6 лет	https://hh.ru/vacancy/102379444	325000.0
77	AQA специалист на JAVA middle (удаленно, можно работать из-за границы)	170000	220000	RUR	Москва	2024-07-19	Amex Development	Тестировщик	От 3 до 6 лет	https://hh.ru/vacancy/103985774	195000.0
78	Системный аналитик (senior), финтех проект	250000	400000	RUR	Москва	2024-07-14	Деко Системс	Системный аналитик	От 3 до 6 лет	https://hh.ru/vacancy/103849408	325000.0
