	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
98	Разработчик Python (Middle)	90000	150000	RUR	Санкт-Петербург	2024-07-15	Единая Информационная Система ЖКХ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103794687	120000.0
99	Frontend Javascript разработчик	120000	180000	RUR	Москва	2024-07-02	НОРСИ-ТРАНС	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103156274	150000.0
100	Тестировщик (Казань)	60000	60000	RUR	Казань	2024-07-09	Enot.io	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/101856729	60000.0
101	Веб-разработчик	60000	60000	RUR	Челябинск	2024-07-09	Агротехнологии	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103552319	60000.0
102	Python Developer в команду разработки протокола хранения данных (Казань)	60000	145000	RUR	Казань	2024-07-09	DeNet	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103591965	102500.0
103	Специалист технической поддержки (2 линия)	90000	90000	RUR	Москва	2024-07-15	Brooma	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/102582860	90000.0
104	Python Django разработчик	80000	120000	RUR	Новосибирск	2024-07-11	People group, центр подбора и развития персонала	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103710255	100000.0
105	Программист	70000	70000	RUR	Кемерово	2024-07-10	Триумф	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103624739	70000.0
106	Аналитик данных, Китай, г. Ханчжоу	120000	120000	RUR	Санкт-Петербург	2024-07-16	Санкт-Петербургский политехнический университет Петра Великого (ФГАОУ ВО СПбПУ)	Аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/103971529	120000.0
107	Системный инженер	70000	70000	RUR	Нижний Новгород	2024-07-05	ПромоДата	Системный инженер	От 1 года до 3 лет	https://hh.ru/vacancy/103368011	70000.0
108	Backend-разработчик Python	50000	80000	RUR	Ростов-на-Дону	2024-07-09	ФГАНУ НИИ Спецвузавтоматика	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103603330	65000.0
109	Программист (PHP/JS/Python)	30000	70000	RUR	Ижевск	2024-06-28	МАРКСОФТ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102942138	50000.0
110	Программист	70000	90000	RUR	Санкт-Петербург	2024-07-09	СПб ГКУ Центр Архивных Документов	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103611521	80000.0
111	Программист-разработчик	80000	100000	RUR	Симферополь	2024-07-12	ПЛАСТ	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103760746	90000.0
112	Python developer	60000	130000	RUR	Барнаул	2024-07-15	КОМТЕК	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102818868	95000.0
