	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
27	Тестировщик (ручное тестирование)	150000	200000	RUR	Москва	2024-07-12	Rubbles	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103794585	175000.0
28	Web-программист	60000	60000	RUR	Краснодар	2024-07-15	Усенко Ярослав Геннадьевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103792548	60000.0
29	Java разработчик	100000	100000	RUR	Брянск	2024-07-09	М-Сошал	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103604196	100000.0
30	Java-разработчик	100000	100000	RUR	Брянск	2024-07-13	DigitalBudget	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98909318	100000.0
31	PHP Разработчик (удаленно)	100000	120000	RUR	Санкт-Петербург	2024-07-05	МирТех	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103359212	110000.0
32	Java разработчик Full Stack/Backend	500000	1000000	KZT	Алматы	2024-07-10	Profit Staff Com (Профит Стафф Ком)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103659874	750000.0
33	Middle backend разработчик, python (Django, GraphQL)	35000	70000	RUR	Волгоград	2024-07-16	Синергия	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103799015	52500.0
34	Fullstack-разработчик	20000	40000	RUR	Самара	2024-07-16	Бирючкова Марианна Юрьевна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103647331	30000.0
35	Event-менеджер / организатор мероприятий	100000	160000	RUR	Москва	2024-06-26	Конференции Олега Бунина	Event-менеджер	От 1 года до 3 лет	https://hh.ru/vacancy/102736702	130000.0
36	QA специалист - тестировщик	80000	80000	RUR	Челябинск	2024-07-16	Рэд	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/101860336	80000.0
37	Программист PHP	90000	90000	RUR	Нижний Новгород	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859414	90000.0
38	Frontend web-разработчик (middle/senior)	2000	2000	USD	Бишкек	2024-06-18	ОсОО Seven Media (Севен Медиа)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102168839	2000.0
39	Fullstack-разработчик	80000	120000	RUR	Москва	2024-06-19	Кодит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102296630	100000.0
40	Java-junior разработчик	50000	80000	RUR	Москва	2024-07-14	Эврика Би Пи О	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/97824754	65000.0
41	Java/Kotlin-разработчик	200000	300000	RUR	Москва	2024-07-03	Rubbles	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/99716978	250000.0
42	Junior DevOps Engineer (DataSpace)	125000	125000	RUR	Ростов-на-Дону	2024-06-20	SberTech	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/102381032	125000.0
43	Разработчик Android приложений	80000	80000	RUR	Ростов-на-Дону	2024-07-02	Лилиани	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103156829	80000.0
44	Backend PHP программист	140000	170000	RUR	Ростов-на-Дону	2024-07-09	Рабочие решения	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103605596	155000.0
45	Full-stack разработчик	20000	90000	KGS	Бишкек	2024-06-18	ОсОО ЮНИОР ЭДУ	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/102170409	55000.0
46	Backend разработчик (SaluteRPA)	190000	230000	RUR	Санкт-Петербург	2024-07-02	Снэп АйТи	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103136862	210000.0
47	Web-разработчик (Инженер-программист)(01050-1)	120000	120000	RUR	Москва	2024-06-25	Моринформсистема-Агат, Концерн	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91683538	120000.0
48	Разработчик (Frontend developer / Vue.js) junior+	130000	130000	RUR	Тюмень	2024-07-14	Статус	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/88609199	130000.0
49	Java back-end разработчик в ML команду ранжирования (Senior/Middle+)	220000	300000	RUR	Москва	2024-07-16	DIGINETICA	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103992268	260000.0
50	Программист Java (backend)	180000	230000	RUR	Москва	2024-07-04	Кадровое агентство Аспект	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102365651	205000.0
51	Frontend разработчик VUE	120000	150000	RUR	Краснодар	2024-07-15	Центр интеллектуальной безопасности	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102405840	135000.0
52	Web-разработчик (Backend)	50000	50000	RUR	Тула	2024-07-08	Третий Путь	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103063831	50000.0
53	Web QA Engineer	700000	1300000	KZT	Алматы	2024-06-29	Kolesa (АО Колеса)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/96146369	1000000.0
54	Junior QA / Тестировщик (нагрузочное тестирование)	75000	75000	RUR	Москва	2024-06-19	EdgeЦентр	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/100038448	75000.0
55	Разработчик бекэнда	50000	50000	RUR	Санкт-Петербург	2024-07-03	ДжиТи Лайт	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103226936	50000.0
56	Программист PHP	90000	90000	RUR	Ростов-на-Дону	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859408	90000.0
57	Ведущий разработчик отдела ИТ-разработки	300000	300000	RUR	Москва	2024-07-01	ГУП Мосгортранс	Другое	От 1 года до 3 лет	https://hh.ru/vacancy/100820238	300000.0
58	Разработчик Go в российский вендор	260000	320000	RUR	Москва	2024-06-27	Бегачева Екатерина Борисовна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102839441	290000.0
59	Программист PHP	90000	90000	RUR	Воронеж	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859404	90000.0
